codigo_serie,alias_serie,descripcion_serie,unidad,frecuencia,anio,observaciones_disponibles,primera_fecha,ultima_fecha,observaciones_esperadas,anio_completo
DEPA202110_ES25.T,SI_1_5.35,Estadísticas generales. INE. EPA. Base 2021. Población de 25 o más años. Total Nacional. Ambos sexos. Trimestral,Miles de personas,TRIMESTRAL,2016,4,2016-03-01,2016-12-01,4.0,True
DEPA202110_ES25.T,SI_1_5.35,Estadísticas generales. INE. EPA. Base 2021. Población de 25 o más años. Total Nacional. Ambos sexos. Trimestral,Miles de personas,TRIMESTRAL,2017,4,2017-03-01,2017-12-01,4.0,True
DEPA202110_ES25.T,SI_1_5.35,Estadísticas generales. INE. EPA. Base 2021. Población de 25 o más años. Total Nacional. Ambos sexos. Trimestral,Miles de personas,TRIMESTRAL,2018,4,2018-03-01,2018-12-01,4.0,True
DEPA202110_ES25.T,SI_1_5.35,Estadísticas generales. INE. EPA. Base 2021. Población de 25 o más años. Total Nacional. Ambos sexos. Trimestral,Miles de personas,TRIMESTRAL,2019,4,2019-03-01,2019-12-01,4.0,True
DEPA202110_ES25.T,SI_1_5.35,Estadísticas generales. INE. EPA. Base 2021. Población de 25 o más años. Total Nacional. Ambos sexos. Trimestral,Miles de personas,TRIMESTRAL,2020,4,2020-03-01,2020-12-01,4.0,True
DEPA202110_ES25.T,SI_1_5.35,Estadísticas generales. INE. EPA. Base 2021. Población de 25 o más años. Total Nacional. Ambos sexos. Trimestral,Miles de personas,TRIMESTRAL,2021,4,2021-03-01,2021-12-01,4.0,True
DEPA202110_ES25.T,SI_1_5.35,Estadísticas generales. INE. EPA. Base 2021. Población de 25 o más años. Total Nacional. Ambos sexos. Trimestral,Miles de personas,TRIMESTRAL,2022,4,2022-03-01,2022-12-01,4.0,True
DEPA202110_ES25.T,SI_1_5.35,Estadísticas generales. INE. EPA. Base 2021. Población de 25 o más años. Total Nacional. Ambos sexos. Trimestral,Miles de personas,TRIMESTRAL,2023,4,2023-03-01,2023-12-01,4.0,True
DEPA202110_ES25.T,SI_1_5.35,Estadísticas generales. INE. EPA. Base 2021. Población de 25 o más años. Total Nacional. Ambos sexos. Trimestral,Miles de personas,TRIMESTRAL,2024,4,2024-03-01,2024-12-01,4.0,True
DEPA202110_ES25.T,SI_1_5.35,Estadísticas generales. INE. EPA. Base 2021. Población de 25 o más años. Total Nacional. Ambos sexos. Trimestral,Miles de personas,TRIMESTRAL,2025,4,2025-03-01,2025-12-01,4.0,True
DEPA202130.T,SI_1_5.41,Estadísticas Generales. EPA. Base 2021. Total Nacional. Ocupados. Ambos sexos. 16 y más años. Total CNAE,Miles de personas,TRIMESTRAL,2015,4,2015-03-01,2015-12-01,4.0,True
DEPA202130.T,SI_1_5.41,Estadísticas Generales. EPA. Base 2021. Total Nacional. Ocupados. Ambos sexos. 16 y más años. Total CNAE,Miles de personas,TRIMESTRAL,2016,4,2016-03-01,2016-12-01,4.0,True
DEPA202130.T,SI_1_5.41,Estadísticas Generales. EPA. Base 2021. Total Nacional. Ocupados. Ambos sexos. 16 y más años. Total CNAE,Miles de personas,TRIMESTRAL,2017,4,2017-03-01,2017-12-01,4.0,True
DEPA202130.T,SI_1_5.41,Estadísticas Generales. EPA. Base 2021. Total Nacional. Ocupados. Ambos sexos. 16 y más años. Total CNAE,Miles de personas,TRIMESTRAL,2018,4,2018-03-01,2018-12-01,4.0,True
DEPA202130.T,SI_1_5.41,Estadísticas Generales. EPA. Base 2021. Total Nacional. Ocupados. Ambos sexos. 16 y más años. Total CNAE,Miles de personas,TRIMESTRAL,2019,4,2019-03-01,2019-12-01,4.0,True
DEPA202130.T,SI_1_5.41,Estadísticas Generales. EPA. Base 2021. Total Nacional. Ocupados. Ambos sexos. 16 y más años. Total CNAE,Miles de personas,TRIMESTRAL,2020,4,2020-03-01,2020-12-01,4.0,True
DEPA202130.T,SI_1_5.41,Estadísticas Generales. EPA. Base 2021. Total Nacional. Ocupados. Ambos sexos. 16 y más años. Total CNAE,Miles de personas,TRIMESTRAL,2021,4,2021-03-01,2021-12-01,4.0,True
DEPA202130.T,SI_1_5.41,Estadísticas Generales. EPA. Base 2021. Total Nacional. Ocupados. Ambos sexos. 16 y más años. Total CNAE,Miles de personas,TRIMESTRAL,2022,4,2022-03-01,2022-12-01,4.0,True
DEPA202130.T,SI_1_5.41,Estadísticas Generales. EPA. Base 2021. Total Nacional. Ocupados. Ambos sexos. 16 y más años. Total CNAE,Miles de personas,TRIMESTRAL,2023,4,2023-03-01,2023-12-01,4.0,True
DEPA202130.T,SI_1_5.41,Estadísticas Generales. EPA. Base 2021. Total Nacional. Ocupados. Ambos sexos. 16 y más años. Total CNAE,Miles de personas,TRIMESTRAL,2024,4,2024-03-01,2024-12-01,4.0,True
DEPA202130.T,SI_1_5.41,Estadísticas Generales. EPA. Base 2021. Total Nacional. Ocupados. Ambos sexos. 16 y más años. Total CNAE,Miles de personas,TRIMESTRAL,2025,4,2025-03-01,2025-12-01,4.0,True
DEPA202140_E20A29_TSPA.T,SI_1_5.42,Estadísticas Generales. EPA. Base 2021. Parados. Ambos sexos. De 20 a 29 años. Tasa de paro,Porcentaje,TRIMESTRAL,2015,4,2015-03-01,2015-12-01,4.0,True
DEPA202140_E20A29_TSPA.T,SI_1_5.42,Estadísticas Generales. EPA. Base 2021. Parados. Ambos sexos. De 20 a 29 años. Tasa de paro,Porcentaje,TRIMESTRAL,2016,4,2016-03-01,2016-12-01,4.0,True
DEPA202140_E20A29_TSPA.T,SI_1_5.42,Estadísticas Generales. EPA. Base 2021. Parados. Ambos sexos. De 20 a 29 años. Tasa de paro,Porcentaje,TRIMESTRAL,2017,4,2017-03-01,2017-12-01,4.0,True
DEPA202140_E20A29_TSPA.T,SI_1_5.42,Estadísticas Generales. EPA. Base 2021. Parados. Ambos sexos. De 20 a 29 años. Tasa de paro,Porcentaje,TRIMESTRAL,2018,4,2018-03-01,2018-12-01,4.0,True
DEPA202140_E20A29_TSPA.T,SI_1_5.42,Estadísticas Generales. EPA. Base 2021. Parados. Ambos sexos. De 20 a 29 años. Tasa de paro,Porcentaje,TRIMESTRAL,2019,4,2019-03-01,2019-12-01,4.0,True
DEPA202140_E20A29_TSPA.T,SI_1_5.42,Estadísticas Generales. EPA. Base 2021. Parados. Ambos sexos. De 20 a 29 años. Tasa de paro,Porcentaje,TRIMESTRAL,2020,4,2020-03-01,2020-12-01,4.0,True
DEPA202140_E20A29_TSPA.T,SI_1_5.42,Estadísticas Generales. EPA. Base 2021. Parados. Ambos sexos. De 20 a 29 años. Tasa de paro,Porcentaje,TRIMESTRAL,2021,4,2021-03-01,2021-12-01,4.0,True
DEPA202140_E20A29_TSPA.T,SI_1_5.42,Estadísticas Generales. EPA. Base 2021. Parados. Ambos sexos. De 20 a 29 años. Tasa de paro,Porcentaje,TRIMESTRAL,2022,4,2022-03-01,2022-12-01,4.0,True
DEPA202140_E20A29_TSPA.T,SI_1_5.42,Estadísticas Generales. EPA. Base 2021. Parados. Ambos sexos. De 20 a 29 años. Tasa de paro,Porcentaje,TRIMESTRAL,2023,4,2023-03-01,2023-12-01,4.0,True
DEPA202140_E20A29_TSPA.T,SI_1_5.42,Estadísticas Generales. EPA. Base 2021. Parados. Ambos sexos. De 20 a 29 años. Tasa de paro,Porcentaje,TRIMESTRAL,2024,4,2024-03-01,2024-12-01,4.0,True
DEPA202140_E20A29_TSPA.T,SI_1_5.42,Estadísticas Generales. EPA. Base 2021. Parados. Ambos sexos. De 20 a 29 años. Tasa de paro,Porcentaje,TRIMESTRAL,2025,4,2025-03-01,2025-12-01,4.0,True
DHIBENOAPLNCGFRU_GPH.M,SI_1_5.57,Estadísticas Generales. Número de créditos con garantía hipotecaria. Total de fincas rústicas y urbanas. Mensual,Créditos,MENSUAL,2018,8,2018-05-01,2018-12-01,12.0,False
DHIBENOAPLNCGFRU_GPH.M,SI_1_5.57,Estadísticas Generales. Número de créditos con garantía hipotecaria. Total de fincas rústicas y urbanas. Mensual,Créditos,MENSUAL,2019,12,2019-01-01,2019-12-01,12.0,True
DHIBENOAPLNCGFRU_GPH.M,SI_1_5.57,Estadísticas Generales. Número de créditos con garantía hipotecaria. Total de fincas rústicas y urbanas. Mensual,Créditos,MENSUAL,2020,12,2020-01-01,2020-12-01,12.0,True
DHIBENOAPLNCGFRU_GPH.M,SI_1_5.57,Estadísticas Generales. Número de créditos con garantía hipotecaria. Total de fincas rústicas y urbanas. Mensual,Créditos,MENSUAL,2021,12,2021-01-01,2021-12-01,12.0,True
DHIBENOAPLNCGFRU_GPH.M,SI_1_5.57,Estadísticas Generales. Número de créditos con garantía hipotecaria. Total de fincas rústicas y urbanas. Mensual,Créditos,MENSUAL,2022,12,2022-01-01,2022-12-01,12.0,True
DHIBENOAPLNCGFRU_GPH.M,SI_1_5.57,Estadísticas Generales. Número de créditos con garantía hipotecaria. Total de fincas rústicas y urbanas. Mensual,Créditos,MENSUAL,2023,12,2023-01-01,2023-12-01,12.0,True
DHIBENOAPLNCGFRU_GPH.M,SI_1_5.57,Estadísticas Generales. Número de créditos con garantía hipotecaria. Total de fincas rústicas y urbanas. Mensual,Créditos,MENSUAL,2024,12,2024-01-01,2024-12-01,12.0,True
DHIBENOAPLNCGFRU_GPH.M,SI_1_5.57,Estadísticas Generales. Número de créditos con garantía hipotecaria. Total de fincas rústicas y urbanas. Mensual,Créditos,MENSUAL,2025,12,2025-01-01,2025-12-01,12.0,True
DHIENA2025IPVUVT_TTVA.T,SI_1_5.1,Estadísticas generales. IPV. Tasa de variación interanual.,Porcentaje,TRIMESTRAL,2015,4,2015-03-01,2015-12-01,4.0,True
DHIENA2025IPVUVT_TTVA.T,SI_1_5.1,Estadísticas generales. IPV. Tasa de variación interanual.,Porcentaje,TRIMESTRAL,2016,4,2016-03-01,2016-12-01,4.0,True
DHIENA2025IPVUVT_TTVA.T,SI_1_5.1,Estadísticas generales. IPV. Tasa de variación interanual.,Porcentaje,TRIMESTRAL,2017,4,2017-03-01,2017-12-01,4.0,True
DHIENA2025IPVUVT_TTVA.T,SI_1_5.1,Estadísticas generales. IPV. Tasa de variación interanual.,Porcentaje,TRIMESTRAL,2018,4,2018-03-01,2018-12-01,4.0,True
DHIENA2025IPVUVT_TTVA.T,SI_1_5.1,Estadísticas generales. IPV. Tasa de variación interanual.,Porcentaje,TRIMESTRAL,2019,4,2019-03-01,2019-12-01,4.0,True
DHIENA2025IPVUVT_TTVA.T,SI_1_5.1,Estadísticas generales. IPV. Tasa de variación interanual.,Porcentaje,TRIMESTRAL,2020,4,2020-03-01,2020-12-01,4.0,True
DHIENA2025IPVUVT_TTVA.T,SI_1_5.1,Estadísticas generales. IPV. Tasa de variación interanual.,Porcentaje,TRIMESTRAL,2021,4,2021-03-01,2021-12-01,4.0,True
DHIENA2025IPVUVT_TTVA.T,SI_1_5.1,Estadísticas generales. IPV. Tasa de variación interanual.,Porcentaje,TRIMESTRAL,2022,4,2022-03-01,2022-12-01,4.0,True
DHIENA2025IPVUVT_TTVA.T,SI_1_5.1,Estadísticas generales. IPV. Tasa de variación interanual.,Porcentaje,TRIMESTRAL,2023,4,2023-03-01,2023-12-01,4.0,True
DHIENA2025IPVUVT_TTVA.T,SI_1_5.1,Estadísticas generales. IPV. Tasa de variación interanual.,Porcentaje,TRIMESTRAL,2024,4,2024-03-01,2024-12-01,4.0,True
DHIENA2025IPVUVT_TTVA.T,SI_1_5.1,Estadísticas generales. IPV. Tasa de variación interanual.,Porcentaje,TRIMESTRAL,2025,4,2025-03-01,2025-12-01,4.0,True
DHIENA2025IPVUVT_VVN_TTVA.T,SI_1_5.2,Estadísticas generales. IPV. Vivienda nueva. Tasa de variación interanual.,Porcentaje,TRIMESTRAL,2015,4,2015-03-01,2015-12-01,4.0,True
DHIENA2025IPVUVT_VVN_TTVA.T,SI_1_5.2,Estadísticas generales. IPV. Vivienda nueva. Tasa de variación interanual.,Porcentaje,TRIMESTRAL,2016,4,2016-03-01,2016-12-01,4.0,True
DHIENA2025IPVUVT_VVN_TTVA.T,SI_1_5.2,Estadísticas generales. IPV. Vivienda nueva. Tasa de variación interanual.,Porcentaje,TRIMESTRAL,2017,4,2017-03-01,2017-12-01,4.0,True
DHIENA2025IPVUVT_VVN_TTVA.T,SI_1_5.2,Estadísticas generales. IPV. Vivienda nueva. Tasa de variación interanual.,Porcentaje,TRIMESTRAL,2018,4,2018-03-01,2018-12-01,4.0,True
DHIENA2025IPVUVT_VVN_TTVA.T,SI_1_5.2,Estadísticas generales. IPV. Vivienda nueva. Tasa de variación interanual.,Porcentaje,TRIMESTRAL,2019,4,2019-03-01,2019-12-01,4.0,True
DHIENA2025IPVUVT_VVN_TTVA.T,SI_1_5.2,Estadísticas generales. IPV. Vivienda nueva. Tasa de variación interanual.,Porcentaje,TRIMESTRAL,2020,4,2020-03-01,2020-12-01,4.0,True
DHIENA2025IPVUVT_VVN_TTVA.T,SI_1_5.2,Estadísticas generales. IPV. Vivienda nueva. Tasa de variación interanual.,Porcentaje,TRIMESTRAL,2021,4,2021-03-01,2021-12-01,4.0,True
DHIENA2025IPVUVT_VVN_TTVA.T,SI_1_5.2,Estadísticas generales. IPV. Vivienda nueva. Tasa de variación interanual.,Porcentaje,TRIMESTRAL,2022,4,2022-03-01,2022-12-01,4.0,True
DHIENA2025IPVUVT_VVN_TTVA.T,SI_1_5.2,Estadísticas generales. IPV. Vivienda nueva. Tasa de variación interanual.,Porcentaje,TRIMESTRAL,2023,4,2023-03-01,2023-12-01,4.0,True
DHIENA2025IPVUVT_VVN_TTVA.T,SI_1_5.2,Estadísticas generales. IPV. Vivienda nueva. Tasa de variación interanual.,Porcentaje,TRIMESTRAL,2024,4,2024-03-01,2024-12-01,4.0,True
DHIENA2025IPVUVT_VVN_TTVA.T,SI_1_5.2,Estadísticas generales. IPV. Vivienda nueva. Tasa de variación interanual.,Porcentaje,TRIMESTRAL,2025,4,2025-03-01,2025-12-01,4.0,True
DHIENA2025IPVUVT_VVU_TTVA.T,SI_1_5.3,Estadísticas generales. IPV. Vivienda usada. Tasa de variación interanual.,Porcentaje,TRIMESTRAL,2015,4,2015-03-01,2015-12-01,4.0,True
DHIENA2025IPVUVT_VVU_TTVA.T,SI_1_5.3,Estadísticas generales. IPV. Vivienda usada. Tasa de variación interanual.,Porcentaje,TRIMESTRAL,2016,4,2016-03-01,2016-12-01,4.0,True
DHIENA2025IPVUVT_VVU_TTVA.T,SI_1_5.3,Estadísticas generales. IPV. Vivienda usada. Tasa de variación interanual.,Porcentaje,TRIMESTRAL,2017,4,2017-03-01,2017-12-01,4.0,True
